maincategory,subcategory,category,link
0,"tv, audio & cameras",Televisions,https://www.amazon.in/gp/browse.html?node=1389396031&ref_=nav_em_sbc_tvelec_television_0_2_9_2
0,"tv, audio & cameras",Home Entertainment Systems,https://www.amazon.in/gp/browse.html?node=1389375031&ref_=nav_em_sbc_tvelec_home_ent_0_2_9_3
0,"tv, audio & cameras",Headphones,https://www.amazon.in/gp/browse.html?node=1388921031&ref_=nav_em_sbc_tvelec_headphones_0_2_9_4
0,"tv, audio & cameras",Speakers,https://www.amazon.in/gp/browse.html?node=1389365031&ref_=nav_em_sbc_tvelec_speakers_0_2_9_5
0,"tv, audio & cameras",Home Audio & Theater,https://www.amazon.in/gp/browse.html?node=1389387031&ref_=nav_em_sbc_tvelec_homeaud_all_0_2_9_6
0,"tv, audio & cameras",Cameras,https://www.amazon.in/gp/browse.html?node=1388977031&ref_=nav_em_sbc_tvelec_cameras_0_2_9_7
0,"tv, audio & cameras",DSLR Cameras,https://www.amazon.in/gp/browse.html?node=1389177031&ref_=nav_em_sbc_tvelec_dslr_0_2_9_8
0,"tv, audio & cameras",Security Cameras,https://www.amazon.in/gp/browse.html?node=1389203031&ref_=nav_em_sbc_tvelec_security_0_2_9_9
0,"tv, audio & cameras",Camera Accessories,https://www.amazon.in/gp/browse.html?node=1388978031&ref_=nav_em_sbc_tvelec_cam_acc_0_2_9_10
0,"tv, audio & cameras",Musical Instruments & Professional Audio,https://www.amazon.in/gp/browse.html?node=3677697031&ref_=nav_em_sbc_tvelec_musical_inst_0_2_9_11
0,"tv, audio & cameras",Gaming Consoles,https://www.amazon.in/gp/browse.html?node=4092115031&ref_=nav_em_sbc_tvelec_gaming_consoles_0_2_9_12
0,"tv, audio & cameras",All Electronics,https://www.amazon.in/gp/browse.html?node=976419031&ref_=nav_em_sbc_tvelec_all_elec_0_2_9_13
0,appliances,Air Conditioners,https://www.amazon.in/gp/browse.html?node=3474656031&ref_=nav_em_sbc_tvelec_ac_0_2_9_15
0,appliances,Refrigerators,https://www.amazon.in/gp/browse.html?node=1380365031&ref_=nav_em_sbc_tvelec_fridges_0_2_9_16
0,appliances,Washing Machines,https://www.amazon.in/gp/browse.html?node=1380369031&ref_=nav_em_sbc_tvelec_washing_machine_0_2_9_17
0,appliances,Kitchen & Home Appliances,https://www.amazon.in/gp/browse.html?node=4951860031&ref_=nav_em_sbc_tvelec_kitchen_appliances_0_2_9_18
0,appliances,Heating & Cooling Appliances,https://www.amazon.in/gp/browse.html?node=2083423031&ref_=nav_em_sbc_tvelec_heating_appl_0_2_9_19
0,appliances,All Appliances,https://www.amazon.in/gp/browse.html?node=5122348031&ref_=nav_em_sbc_tvelec_all_appliance_0_2_9_20
1,men's clothing,Clothing,https://www.amazon.in/gp/browse.html?node=1968024031&ref_=nav_em_sbc_mfashion_clothing_0_2_10_2
1,men's clothing,T-shirts & Polos,https://www.amazon.in/gp/browse.html?node=1968120031&ref_=nav_em_sbc_mfashion_tshirts_0_2_10_3
1,men's clothing,Shirts,https://www.amazon.in/gp/browse.html?node=1968093031&ref_=nav_em_sbc_mfashion_shirts_0_2_10_4
1,men's clothing,Jeans,https://www.amazon.in/gp/browse.html?node=1968076031&ref_=nav_em_sbc_mfashion_jeans_0_2_10_5
1,men's clothing,Innerwear,https://www.amazon.in/gp/browse.html?node=1968126031&ref_=nav_em_sbc_mfashion_innerwear_0_2_10_6
1,accessories,Watches,https://www.amazon.in/gp/browse.html?node=2563504031&ref_=nav_em_sbc_mfashion_watches_0_2_10_8
1,accessories,Bags & Luggage,https://www.amazon.in/gp/browse.html?node=2454169031&ref_=nav_em_sbc_mfashion_bags_0_2_10_9
1,accessories,Sunglasses,https://www.amazon.in/gp/browse.html?node=1968036031&ref_=nav_em_sbc_mfashion_sunglasses_0_2_10_10
1,accessories,Jewellery,https://www.amazon.in/gp/browse.html?node=7124359031&ref_=nav_em_sbc_mfashion_jewelry_0_2_10_11
1,accessories,Wallets,https://www.amazon.in/gp/browse.html?node=2917496031&ref_=nav_em_sbc_mfashion_wallets_0_2_10_12
1,men's shoes,Shoes,https://www.amazon.in/gp/browse.html?node=1983518031&ref_=nav_em_sbc_mfashion_shoes_0_2_10_14
1,men's shoes,Sports Shoes,https://www.amazon.in/gp/browse.html?node=1983519031&ref_=nav_em_sbc_mfashion_sportshoes_0_2_10_15
1,men's shoes,Formal Shoes,https://www.amazon.in/gp/browse.html?node=1983572031&ref_=nav_em_sbc_mfashion_formalshoes_0_2_10_16
1,men's shoes,Casual Shoes,https://www.amazon.in/gp/browse.html?node=9780814031&ref_=nav_em_sbc_mfashion_casualshoes_0_2_10_17
1,stores,Sportswear,https://www.amazon.in/gp/browse.html?node=12456568031&ref_=nav_em_sbc_mfashion_sportswear_0_2_10_19
1,stores,The Designer Boutique,https://www.amazon.in/gp/browse.html?node=6172354031&ref_=nav_em_sbc_mfashion_designerstore_0_2_10_20
1,stores,Men's Fashion,https://www.amazon.in/gp/browse.html?node=7459781031&ref_=nav_em_sbc_mfashion_all_0_2_10_21
1,stores,Amazon Fashion,https://www.amazon.in/gp/browse.html?node=6648217031&ref_=nav_em_sbc_mfashion_af_0_2_10_22
1,stores,Men's Handlooms,https://www.amazon.in/gp/browse.html?node=11969751031&ref_=nav_em_sbc_mfashion_handloom_0_2_10_23
1,stores,Fashion Sales & Deals,https://www.amazon.in/gp/browse.html?node=4188827031&ref_=nav_em_sbc_mfashion_sales_deals_0_2_10_24
2,women's clothing,Clothing,https://www.amazon.in/gp/browse.html?node=1953602031&ref_=nav_em_sbc_wfashion_clothing_0_2_11_2
2,women's clothing,Western Wear,https://www.amazon.in/gp/browse.html?node=11400137031&ref_=nav_em_sbc_wfashion_western_0_2_11_3
2,women's clothing,Ethnic Wear,https://www.amazon.in/gp/browse.html?node=1968253031&ref_=nav_em_sbc_wfashion_ethnic_0_2_11_4
2,women's clothing,Lingerie & Nightwear,https://www.amazon.in/gp/browse.html?node=11400136031&ref_=nav_em_sbc_wfashion_lingerie_0_2_11_5
2,women's clothing,Top Brands,https://www.amazon.in/s?bbn=1953602031&lo=apparel&rh=i%3Aapparel%2Cn%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Ck%3A-sunglass%20-eye%2Cp_98%3A10440597031%2Cp_n_feature_nineteen_browse-bin%3A11301357031&ref_=nav_em_sbc_wfashion_topbrands_0_2_11_6
2,accessories,Watches,https://www.amazon.in/gp/browse.html?node=2563505031&ref_=nav_em_sbc_wfashion_watches_0_2_11_8
2,accessories,Handbags & Clutches,https://www.amazon.in/gp/browse.html?node=1983338031&ref_=nav_em_sbc_wfashion_handbags_0_2_11_9
2,accessories,Gold & Diamond Jewellery,https://www.amazon.in/gp/browse.html?node=5210069031&ref_=nav_em_sbc_wfashion_jewelry_0_2_11_10
2,accessories,Fashion & Silver Jewellery,https://www.amazon.in/gp/browse.html?node=5210079031&ref_=nav_em_sbc_wfashion_fashionjwl_0_2_11_11
2,accessories,Sunglasses,https://www.amazon.in/gp/browse.html?node=1968401031&ref_=nav_em_sbc_wfashion_sunglasses_0_2_11_12
2,women's shoes,Shoes,https://www.amazon.in/gp/browse.html?node=1983578031&ref_=nav_em_sbc_wfashion_shoes_0_2_11_14
2,women's shoes,Fashion Sandals,https://www.amazon.in/gp/browse.html?node=1983633031&ref_=nav_em_sbc_wfashion_sandals_0_2_11_15
2,women's shoes,Ballerinas,https://www.amazon.in/gp/browse.html?node=1983627031&ref_=nav_em_sbc_wfashion_ballerina_0_2_11_16
2,stores,The Designer Boutique,https://www.amazon.in/gp/browse.html?node=6172354031&ref_=nav_em_sbc_wfashion_designerstore_0_2_11_18
2,stores,Handloom & Handicraft Store,https://www.amazon.in/gp/browse.html?node=11971792031&ref_=nav_em_sbc_wfashion_handloomstore_0_2_11_19
2,stores,Sportswear,https://www.amazon.in/gp/browse.html?node=12302884031&ref_=nav_em_sbc_wfashion_sportswear_0_2_11_20
2,stores,Women's Fashion,https://www.amazon.in/gp/browse.html?node=7459780031&ref_=nav_em_sbc_wfashion_all_0_2_11_21
2,stores,Amazon Fashion,https://www.amazon.in/gp/browse.html?node=6648217031&ref_=nav_em_sbc_wfashion_af_0_2_11_22
2,stores,Fashion Sales & Deals,https://www.amazon.in/gp/browse.html?node=4188827031&ref_=nav_em_sbc_wfashion_sales_deals_0_2_11_23
3,home & kitchen,Explore Showroom,https://www.amazon.in/showroom?ref_=nav_em_srm_shopall_in_0_2_12_2
3,home & kitchen,Kitchen & Dining,https://www.amazon.in/gp/browse.html?node=5925789031&ref_=nav_em_sbc_hk_kitchendining_0_2_12_3
3,home & kitchen,Kitchen Storage & Containers,https://www.amazon.in/gp/browse.html?node=1379989031&ref_=nav_em_sbc_hk_kitchenstorage_0_2_12_4
3,home & kitchen,Furniture,https://www.amazon.in/gp/browse.html?node=1380441031&ref_=nav_em_sbc_hk_furniture_0_2_12_5
3,home & kitchen,Fine Art,https://www.amazon.in/gp/browse.html?node=13740856031&ref_=nav_em_sbc_fineart_in_0_2_12_6
3,home & kitchen,Home Furnishing,https://www.amazon.in/gp/browse.html?node=1380442031&ref_=nav_em_sbc_hk_furnishing_0_2_12_7
3,home & kitchen,Bedroom Linen,https://www.amazon.in/gp/browse.html?node=1380447031&ref_=nav_em_sbc_hk_bedroom_linen_0_2_12_8
3,home & kitchen,Home Décor,https://www.amazon.in/gp/browse.html?node=1380374031&ref_=nav_em_sbc_hk_decor_0_2_12_9
3,home & kitchen,Garden & Outdoors,https://www.amazon.in/gp/browse.html?node=2454175031&ref_=nav_em_sbc_hk_garden_outdoor_0_2_12_10
3,home & kitchen,Home Storage,https://www.amazon.in/gp/browse.html?node=1380510031&ref_=nav_em_sbc_hk_home_storage_0_2_12_11
3,home & kitchen,Indoor Lighting,https://www.amazon.in/gp/browse.html?node=1380485031&ref_=nav_em_sbc_hk_lighting_0_2_12_12
3,home & kitchen,Home Improvement,https://www.amazon.in/gp/browse.html?node=4286640031&ref_=nav_em_sbc_hk_homeimprovement_0_2_12_13
3,home & kitchen,Sewing & Craft Supplies,https://www.amazon.in/gp/browse.html?node=10743065031&ref_=nav_em_sbc_hk_craftsupplies_0_2_12_14
3,home & kitchen,All Home & Kitchen,https://www.amazon.in/gp/browse.html?node=976442031&ref_=nav_em_sbc_hk_all_0_2_12_15
3,home & kitchen,Shop by Room,https://www.amazon.in/gp/browse.html?node=10892568031&ref_=nav_em_sbc_hk_shop_by_room_0_2_12_16
3,home & kitchen,Home & Kitchen Deals,https://www.amazon.in/gp/browse.html?node=4916278031&ref_=nav_em_sbc_hk_deals_0_2_12_17
3,pet supplies,All Pet Supplies,https://www.amazon.in/gp/browse.html?node=2454181031&ref_=nav_em_sbc_hk_pets_all_0_2_12_19
3,pet supplies,Dog supplies,https://www.amazon.in/gp/browse.html?node=4771342031&ref_=nav_em_sbc_hk_petdogs_0_2_12_20
3,"home, kitchen, pets",Refurbished & Open Box,https://www.amazon.in/gp/browse.html?node=15290771031&ref_=nav_em_sbc_hk_certified_refurbished_0_2_12_22
4,beauty & health,Beauty & Grooming,https://www.amazon.in/gp/browse.html?node=1355016031&ref_=nav_em_sbc_bhg_beauty_all_0_2_13_2
4,beauty & health,Luxury Beauty,https://www.amazon.in/gp/browse.html?node=5311359031&ref_=nav_em_sbc_bhg_lux_0_2_13_3
4,beauty & health,Make-up,https://www.amazon.in/gp/browse.html?node=1374357031&ref_=nav_em_sbc_bhg_makeup_0_2_13_4
4,beauty & health,Health & Personal Care,https://www.amazon.in/gp/browse.html?node=1350384031&ref_=nav_em_sbc_bhg_hpc_0_2_13_5
4,beauty & health,Amazon Pharmacy,https://www.amazon.in/gp/browse.html?node=18049712031&ref_=nav_em_sbc_desktop_pharmacy_0_2_13_6
4,beauty & health,Household Supplies,https://www.amazon.in/gp/browse.html?node=1374515031&ref_=nav_em_sbc_bhg_household_0_2_13_7
